ebay_isbn,link,E price,A price,amazon_isbn,amazon_link,offer_type
9780130379184,https://www.ebay.com/itm/394388496443?epid=118772356&hash=item5bd362e03b%3Ag%3ANvUAAOSwYR9joqcV&amdata=enc%3AAQAIAAAA4ARHoD4PgsApkNkrLFCAhB7WvtGZiefeZOFly%2B5%2BtB60ChyiIsUK1Rg9Qfh38slJ0AImVrER6YBzQWDF%2FEot7oT%2F1sm2KFQG8bwnlnitxrz1ba5FG5p65f6gDfanadgj0jEv9PuK5wYa8HJmYz6CnkH%2B4VkPwfmJQbmesAtuWPSv7N2LvCzJZ7h%2BHK1q5z7RJeuGwRYHjzZsfwkV7xY%2FYvrpm1TQyNqm6YpbmQm%2Bozcd%2FS10NBUJEfUS3RJSQ1N23yNmF5bqZhSVyBJbHvODVV0A%2F%2Bd%2BNjvaczE3Ifng0X8G%7Ctkp%3ABFBMrPXx75Bi&LH_BIN=1,80.0,$9.54,,https://amazon.com/Algebra-Trigonometry-Book-Mary-Dolciani/dp/0395340950/ref=sr_1_1?keywords=0395340950&qid=1685891996&sr=8-1,BB
9780534496364,https://www.ebay.com/itm/195715469553?epid=109230863&hash=item2d918d10f1%3Ag%3AdNYAAOSwNjxf%7EbZh&amdata=enc%3AAQAIAAAA4EOxjQrgXYdOf4oL8%2FSmMirnjK9QUxiXJajZ%2FX6cFurzZfDbOgU2w5z49Bcvew1dtOd80cw8Tjd%2BAp9exQHCELJv1%2FpXq2blxuLy7oJFTy6I5BHVrNVUDUkLmwY%2BdZVU%2Foo%2FKx2Rv40cXF8m2fPlDdcQtaFfcwA3Y78GiScvz%2FX7pTcMjh830J6Te4%2FZA5YDR23SFIlD%2BE%2Bxz0S5D6pmMccXTa5p%2BgE1vyVW8QQU3jK71Bz0Zii5QaNXCbW%2FIf1cvkPcYMOjsZBLMbqDERsAoKxrBvpCBbf67BAxSXgotVmY%7Ctkp%3ABk9SR6z18e-QYg&LH_BIN=1,5.3,$78.11,,https://amazon.com/Prentice-Hall-Mathematics-Pre-Algebra-Teachers/dp/0130379182/ref=sr_1_1?keywords=9780130379184&qid=1685892006&sr=8-1,BB
9780547016429,https://www.ebay.com/itm/145117571454?epid=103066038&hash=item21c9ae697e%3Ag%3AvIYAAOSwVF9f%7E5%7E8&amdata=enc%3AAQAIAAAAwIZ9VPJ3e4YDjLGW%2FhxLhB3q%2F8cbCwirPaB%2B2Oq%2BizImSZmYugHUXQRgEAVyyvF1FtuzlfpGsKy0har9SlVGLmy2sMTFfqyLRM%2F3XolvOpDh1Z6wfSUoQ5aGYlhNGro6r%2Bj73v%2B2BddEqgtGha77Vqdlp1r4Fz9ugnu18k%2FaVVS%2FnHUcaSiqQRENpGA72eH765SSx4yqZ3u%2BIIZpiQ0%2BG55xVjXwIklggp8oCKers8y5SaucgPjxd9PNDW5j5q9FKA%3D%3D%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,12.58,Price Failed,,https://amazon.com/Intermediate-Algebra-Connecting-Concepts-Applications/dp/1337615587/ref=sr_1_1?keywords=9780534496364&qid=1685892015&sr=8-1,N/A
9780486471891,https://www.ebay.com/itm/265896033340?epid=71620212&hash=item3de8a37c3c%3Ag%3A4egAAOSwmxljR0zL&amdata=enc%3AAQAIAAAA4FJWy%2BJt2XF3u32ATjZo3P9Ixq89F9EA1Lp6ZEBEbylmGOpPa8AOjVEkgc9GhsfN%2BlTLH%2FNlTuazm5DOSXjZAAa3%2FXSGXTgCbK3wIXJO5av3Fnrch0PuEx3DR0KQl6hKLh5fdHQ2Kq8ESEAd%2FbLmzfos358uvc%2FmljackHlK5AgYUAEL%2Ff%2FifevbWcsAmuYsaa3FyEnoJ09ARkY8OfNnUdLP5gte%2FmB2XzkMHwiH0aVmuDehU1OXXROOVDToV6YOX%2FpDivUmMwVBpEIg20mld8wlLVYMCpiz4IPiW3%2BSfKUV%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,10.16,$14.74,,https://amazon.com/Intermediate-Algebra-Student-Support-Richard/dp/0547016425/ref=sr_1_1?keywords=9780547016429&qid=1685892024&sr=8-1,BB
9780534358235,https://www.ebay.com/itm/374616781001?epid=31710&hash=item5738e670c9%3Ag%3AlkgAAOSwaLxf%7EtGF&amdata=enc%3AAQAIAAAA4LIn9wfwLsr3ze1N5T15ANv%2BWLXLRAZUKCE4st4xkNYmIZF01s476A9Er8FR4kCH9zchKgFfkGodHVkGw7sDZwo4JOfQTdm9MXvkS6P68Fgxer%2FTavCJoDOHPcMCF%2BXVghHLEcaWWhSyOwNchClMLPQj4RG5pMwtChbQO5W5EhMC2Epfjedqg%2FbH8qQgNDi9UlE4XnQygf37yJFGKv1U45et8tunzgCD4L0CNfExH76qcancxFgL2a9nIm9Z9XbQP7ulK7Q6x9stc9QAj5vrFV%2BKpb2%2B%2FOqPYK5AZZdFQgE%2B%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,4.52,$14.39,,https://amazon.com/Basic-Algebra-Second-Dover-Mathematics/dp/0486471896/ref=sr_1_1?keywords=9780486471891&qid=1685892031&sr=8-1,BB
9780495105152,https://www.ebay.com/itm/145114253100?epid=57271576&hash=item21c97bc72c%3Ag%3A%7E74AAOSwh1xf%7Ez6G&amdata=enc%3AAQAIAAAA4O3uy6bFcgGGOACkXs7p2D10ButAoS0ogko890h7KdtxpjGeounwQlTYvF2d%2BFCxwnXhNr6l5v1Kwgqmk0JHtRyCSDoOtyuM2nZButE5Hcq4MVsEpCcfPHOspRK9gyxpCk1jCIaA9TrOZIRZa6uDLbpkfXjr2jDw1U1fGT2jwu7Qlq7FmbZDZzvq9RVEpFiUaTJIlUDiDRdDgmS2j88rmc2v4Tk%2FsyfLzvTKWbC7N%2FZbip6m8hXInuaYOILevFhmzkKATaQ1hPFsC5YZ%2FVk2ssuIGR%2FvcPSh2vqqQmenUutR%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,7.07,$12.90,,https://amazon.com/Elementary-Algebra-Equations-Katherine-Yoshiwara/dp/0534358233/ref=sr_1_1?keywords=9780534358235&qid=1685892040&sr=8-1,BB
9780122596650,https://www.ebay.com/itm/144732564523?epid=4038285422&hash=item21b2bbac2b%3Ai%3A144732564523&amdata=enc%3AAQAIAAAAwEzTeCll57AnCnkj9bWTR%2FTW0X4Y9Se2xBBCEKGEj%2BRMmlnWseDPTYmA7RrFHZBzK26qXEsnaT0ftIaAO%2BNWH9klXj%2F9j9DLjfsNtofWKlJMrZ7x91fs%2FYQyADKvLCy5IW1jtoPdwMNrR9f1UTiNIV8%2B8YZrbD9SM9smk9aQnJHR5FHZrXvpdRIgzjmiXhffnWFzIpyc3bhAQK5ld6m9tCKgIa5hwOWOlJsp3osuKwCitL%2BHo5ea%2Fplys%2BcHVM%2BipQ%3D%3D%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,4.54,$8.49,,https://amazon.com/Student-Solutions-Kaufmann-Schwitters-Students/dp/0495105155/ref=sr_1_1?keywords=9780495105152&qid=1685892047&sr=8-1,BB
9780321773302,https://www.ebay.com/itm/235036789628?epid=111959849&hash=item36b948cb7c%3Ag%3A0yEAAOSwPydkVm52&amdata=enc%3AAQAIAAAA4OHDvjvGljCoAJVLoTnEQfj2sX4K%2FwwAulaHH7oWExkwOxx%2BRMhoGsT3u1il%2Fh7Pgg5MjeHBLG5RVuZhpA3eRPw8tnonKis8C7breYT1yi7UWcHkocTRSmSfenryi5sP%2FVZrWK5EN2YmIOfPW%2Fwd7RKHLNB4h1qaszOlzKBvzq5hHgUHDCRTfCtJ9r7QVgqhom2RftUsGP7tbiEHDXRTBjniuxpiPBoT6UTlrxnOdt1UAH1VnxReWUk2t3KVbt9FzvtpF65%2BBF8Sl2aj4%2BgMBCgo%2Bj7g5nI8bWnR96%2F8d2uu%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,4.99,Price Failed,,https://amazon.com/Algebra-Trigonometry-Harley-Flanders-ebook/dp/B01LZDLOUU/ref=sr_1_1?keywords=9780122596650&qid=1685892055&sr=8-1,N/A
9780132191418,https://www.ebay.com/itm/195413163089?epid=47974867&hash=item2d7f883c51%3Ag%3A7KcAAOSwW%7Ehf%7EvmK&amdata=enc%3AAQAIAAAA4N4OELb%2BLboSapBmKRrZX3xH8emZiTecW77P1V5wx36euV5Spljo9nCqg2ZfbzBHjMhiDXqvFjc%2BYcMlNu%2BpvgEE8XgIO9ABawQ7fXMibrgeSKdQNEjnIb4%2BMkutVI5hwcCLg8YXc%2B3CRae8CU%2Bm44POUuo61c0ybKDURi9mSkIrdrWNYBw1V5hSRc%2FKOd4yzQGW5c4u6KINEbW%2B1U37biYmx1aGtdaAWJA5HLwPslOwqTkW59JR0P9mIWPVxSKDayuBt0lhEUSpJzZK13X%2BNfaFtXjYmiAWNra2AiIUUNYL%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,5.3,Price Failed,,https://amazon.com/Beginning-Algebra-Applications-Visualization-Rockswold-ebook/dp/B0072VXOH6/ref=sr_1_1?keywords=9780321773302&qid=1685892064&sr=8-1,N/A
9780132191418,https://www.ebay.com/itm/195413163089?epid=47974867&hash=item2d7f883c51%3Ag%3A7KcAAOSwW%7Ehf%7EvmK&amdata=enc%3AAQAIAAAA4N4OELb%2BLboSapBmKRrZX3xH8emZiTecW77P1V5wx36euV5Spljo9nCqg2ZfbzBHjMhiDXqvFjc%2BYcMlNu%2BpvgEE8XgIO9ABawQ7fXMibrgeSKdQNEjnIb4%2BMkutVI5hwcCLg8YXc%2B3CRae8CU%2Bm44POUuo61c0ybKDURi9mSkIrdrWNYBw1V5hSRc%2FKOd4yzQGW5c4u6KINEbW%2B1U37biYmx1aGtdaAWJA5HLwPslOwqTkW59JR0P9mIWPVxSKDayuBt0lhEUSpJzZK13X%2BNfaFtXjYmiAWNra2AiIUUNYL%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,5.3,$16.07,,https://amazon.com/College-Algebra-4th-Robert-Blitzer/dp/0132191415/ref=sr_1_1?keywords=9780132191418&qid=1685892072&sr=8-1,BB
9780534357719,https://www.ebay.com/itm/145077940668?epid=2351572&hash=item21c751b1bc%3Ag%3Aj4IAAOSw6bZf%7E2i%7E&amdata=enc%3AAQAIAAAA4JXLkWV1jmE1LTivhzQKa9%2BLv9I9ItJFc1oLTHFnhOfPlNYKD7UnP7d66YjFGEAHGEHpwCKeIwv5JLK%2Fn0Pe%2BfHqUahFWoxgBlfGD65fp3hBst47mz2oaKZxe7YYg1Ky3CLQvnzgCKmDsCWWiO2R4OpOtSjI1FLYs8BvNVJXz922Pn%2FsgvnNBpbpc1Y4ZZwt1uUKpT08DYQHcVGPb10VpvGTzgIp9wHyCf8kfSHE0RfGLknKB2BIfgZiQfk2Qhwr7IpNbfVZnFSUbJqR4UHyvcgNHsILHL9hWIBEe%2BrVuLnF%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,7.59,Price Failed,,https://amazon.com/College-Algebra-InfoTrac-Available-CengageNOW/dp/0534357717/ref=sr_1_1?keywords=9780534357719&qid=1685892090&sr=8-1,N/A
9780534357719,https://www.ebay.com/itm/145077940668?epid=2351572&hash=item21c751b1bc%3Ag%3Aj4IAAOSw6bZf%7E2i%7E&amdata=enc%3AAQAIAAAA4JXLkWV1jmE1LTivhzQKa9%2BLv9I9ItJFc1oLTHFnhOfPlNYKD7UnP7d66YjFGEAHGEHpwCKeIwv5JLK%2Fn0Pe%2BfHqUahFWoxgBlfGD65fp3hBst47mz2oaKZxe7YYg1Ky3CLQvnzgCKmDsCWWiO2R4OpOtSjI1FLYs8BvNVJXz922Pn%2FsgvnNBpbpc1Y4ZZwt1uUKpT08DYQHcVGPb10VpvGTzgIp9wHyCf8kfSHE0RfGLknKB2BIfgZiQfk2Qhwr7IpNbfVZnFSUbJqR4UHyvcgNHsILHL9hWIBEe%2BrVuLnF%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,7.59,$256.84,,https://amazon.com/College-Algebra-InfoTrac-Available-CengageNOW/dp/0534357717/ref=sr_1_1?keywords=9780534357719&qid=1685892090&sr=8-1,BB
9780134689593,https://www.ebay.com/itm/145090396753?epid=1363301&hash=item21c80fc251%3Ai%3A145090396753&amdata=enc%3AAQAIAAAA4FeyYRjMJffk%2Bjv32n6HBrSH0IDrVX3GtEqnELzVzZUt%2BX5%2FR5tjbOwRJolOTgNLdDzDocFBRbut7nc8%2BHMCr%2FFwflrUQ49qpgmdET0lVPSor%2BwK3%2FhfipX5H6PlAxPkNdOCvlcz%2BGymLaI1iHhr7XMOZfdEGD3u%2B1pvITsOIJ%2BLzt1LYCx4YCQOjMJVgXDQplqW7vKQ98klZ97LwF84JI8gA5Bj3iCGmoHRQ8eK2%2FOJKk70KU3qKr2M9QsnVv%2B5Oj3pTrtHRfD8NGRpMu8LOxIUx1HB9AnBGqYUDWr5niRu%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,4.98,$14.66,,https://amazon.com/Integrated-algebra-trigonometry-analytic-geometry/dp/0134689593/ref=sr_1_1?keywords=9780134689593&qid=1685892113&sr=8-1,BB
9780134689593,https://www.ebay.com/itm/145090396753?epid=1363301&hash=item21c80fc251%3Ai%3A145090396753&amdata=enc%3AAQAIAAAA4FeyYRjMJffk%2Bjv32n6HBrSH0IDrVX3GtEqnELzVzZUt%2BX5%2FR5tjbOwRJolOTgNLdDzDocFBRbut7nc8%2BHMCr%2FFwflrUQ49qpgmdET0lVPSor%2BwK3%2FhfipX5H6PlAxPkNdOCvlcz%2BGymLaI1iHhr7XMOZfdEGD3u%2B1pvITsOIJ%2BLzt1LYCx4YCQOjMJVgXDQplqW7vKQ98klZ97LwF84JI8gA5Bj3iCGmoHRQ8eK2%2FOJKk70KU3qKr2M9QsnVv%2B5Oj3pTrtHRfD8NGRpMu8LOxIUx1HB9AnBGqYUDWr5niRu%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,4.98,$6.68,,https://amazon.com/Integrated-algebra-trigonometry-analytic-geometry/dp/0134689593/ref=sr_1_1?keywords=9780134689593&qid=1685892113&sr=8-1,BB
0134707478,https://www.ebay.com/itm/264452208911?epid=240579009&hash=item3d9294790f%3Ag%3AzWgAAOSwX2BiBPR4&amdata=enc%3AAQAIAAAAwOZTFCSFbNumTdlu0%2FLw4hNp7HAggd7N7XYFUxtgz21i7LnkRaYsGPBGOkcFA9PlVu1Tu5eZ9efbPUWFmT9AG8llcoERHt8Ls0he6Uvy6CS3cqmesnJq10cC3Zxz6L7olR5A7jvq2zLMQVvJuNawhXwl%2FCFqRGfgTPdf3NH5XOOwd8ZtJbUcyU9eO%2B%2FZfRQ4%2FPT7FefXGmvDsY%2B8gFBrQLdyt3Vnx52iaUnyc6ZMQJ1sKSBu6WyBGxK2%2BaUpN%2FpQ5w%3D%3D%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,8.73,$8.44,,https://amazon.com/Introductory-Intermediate-Algebra-Books-Carte/dp/0134707478/ref=sr_1_1?keywords=0134707478&qid=1685892137&sr=8-1,BB
0134707478,https://www.ebay.com/itm/264452208911?epid=240579009&hash=item3d9294790f%3Ag%3AzWgAAOSwX2BiBPR4&amdata=enc%3AAQAIAAAAwOZTFCSFbNumTdlu0%2FLw4hNp7HAggd7N7XYFUxtgz21i7LnkRaYsGPBGOkcFA9PlVu1Tu5eZ9efbPUWFmT9AG8llcoERHt8Ls0he6Uvy6CS3cqmesnJq10cC3Zxz6L7olR5A7jvq2zLMQVvJuNawhXwl%2FCFqRGfgTPdf3NH5XOOwd8ZtJbUcyU9eO%2B%2FZfRQ4%2FPT7FefXGmvDsY%2B8gFBrQLdyt3Vnx52iaUnyc6ZMQJ1sKSBu6WyBGxK2%2BaUpN%2FpQ5w%3D%3D%7Ctkp%3ABk9SR6r18e-QYg&LH_BIN=1,8.73,$5.58,,https://amazon.com/Introductory-Intermediate-Algebra-Books-Carte/dp/0134707478/ref=sr_1_1?keywords=0134707478&qid=1685892137&sr=8-1,BB
9780201088250,https://www.ebay.com/itm/374735868594?epid=1276958&hash=item573fff92b2%3Ai%3A374735868594&amdata=enc%3AAQAIAAAA4AYwaXS4DZO69EuRsZE7h4c6%2BXl8OYSTsoM5sLVcJW6w%2FOMEV5U%2BUpH58hy0dnuQRmHKrqsnaBxXb14o0Ko%2BqJsArwdI1Bb24rfSfjIZz5mRkq2Ka%2FgftQKyKyFWZktRCQQjIfHA6AuU%2FxyUbJYOzlAd1uAl7uaFyLhd%2BkdDOb5k5Wzg1CRNZIcopuKbQj2PcJsuKp3n66UnygsDc57eUxioWja8C29WcFtdCqtXp86e61zXeovI6qXe2CYxaxWKkihKZ1gSoolah6Sb%2Fw6pKn4PwCKlJkLm7HpxgPeNdDWn%7Ctkp%3ABk9SR6j18e-QYg&LH_BIN=1,22.1,$9.88,,https://amazon.com/Humongous-Book-Algebra-Problems-Books/dp/1592577229/ref=sr_1_1?keywords=9781592577224&qid=1685892155&sr=8-1,BB
9780153578502,https://www.ebay.com/itm/144712177580?epid=19950&hash=item21b18497ac%3Ai%3A144712177580&amdata=enc%3AAQAIAAAAwPyzotNtPue5zj26iTiZZV7OIYELzWm5XN5GTtyyuR2mjxVwTkieQrfYqN8S3zIOGgv8wjoJMvlF%2BkEOOrQwuFbFv0LJOcxnF%2ByUvco4BMNc3UbfcUIEegojQjavsRicIMCUXukzfEjh4DPvwuWZEv6%2BIke6RNqZ610V%2BU%2FmMefLuzU4DsEOF5fTB2bRdfcM4lkUdaSU0GAN5eW%2BDGifYFIam9fP9SQNWsL%2BJxhuRb2A3tVN50HRjc8qhe2lRZpS5A%3D%3D%7Ctkp%3ABk9SR6j18e-QYg&LH_BIN=1,4.14,$25.57,,https://amazon.com/Elementary-Algebra-Applications-Addison-Wesley-mathematics/dp/0201088258/ref=sr_1_1?keywords=9780201088250&qid=1685892166&sr=8-1,BB
9780136009269,https://www.ebay.com/itm/314565236480?epid=63469010&hash=item493d8c9700%3Ag%3Aip0AAOSwFJpf%7E12S&amdata=enc%3AAQAIAAAA4DkMdXcIf2IX2WE0mHDoRHDgDCAoy8aPgAXsQhde0AEvDVQPu2o6WxIbD8eUWcXyXh5%2BTlPCUpDuyvusoQgqBFN6s2KAc9owTmC3I6u1MoSc%2FvIZYPXGyCj3dJLXesf1vPyNoc4QdCkO9aQlDfuFgKfFOMWSdyQ%2B9LhEl%2F7Z9MGwbqJT8W65PNEynFLHMedzQoMdM61G7%2B6uM3ChXnS6dxAmBD9ztGqxSdu%2F9YmX8hNt4EEHz3SPdKfSWqaklL55G7NkG%2FSYQv7CorkvHFTOOIm7c4LB%2BoBQ8BbXOMe85pOf%7Ctkp%3ABk9SR6j18e-QYg&LH_BIN=1,9.13,$8.48,,https://amazon.com/Introduction-Algebra-Russell-F-Jacobs/dp/0153578505/ref=sr_1_1?keywords=9780153578502&qid=1685892174&sr=8-1,BB
9780321443625,https://www.ebay.com/itm/373420664506?epid=57048301&hash=item56f19b26ba%3Ag%3AOZkAAOSw6JFf%7E2ti&amdata=enc%3AAQAIAAAAwNZTFKYfINwbpAmnXSboTD7FoSuxMk03ZouTgQORyXRc0bo6ZGuWXUL74RuMH6hCvyWgQP97MyFgpY1yiw3MCOFDNslrRxA1VYcvMiXmHicnLJpdveKTTYsOHmU1o5UpQIkOsqIy2OjxSn1I2ySRxufBURgHz9ojW52eCisJ0I2XnR0VdVAlbKuWQvw9JDnpSW6bUXZQyygOxEHefoeVj38RqwQsf0ndrx%2FU6ta0bREHaPILrdM8i3QmMDIsC7YIqw%3D%3D%7Ctkp%3ABk9SR6j18e-QYg&LH_BIN=1,5.44,$99.99,,https://amazon.com/Linear-Algebra-Applications-Otto-Bretscher/dp/0136009263/ref=sr_1_1?keywords=9780136009269&qid=1685892181&sr=8-1,BB
9781598639803,https://www.ebay.com/itm/195746472808?epid=72019298&hash=item2d93662368%3Ag%3A-iUAAOSwColf%7E3WM&amdata=enc%3AAQAIAAAA4LhW6lmJ4PeoXvRh6fseCW92IqVKkWUK0vyq1xX4HIfUpBUvwkznICq5gdDo6lKH2ARkFZIrqr3r1JgdwhqNnxSnjdQjDEgK1hYpL2meLLWc8IZkMSXN75ekb6mYX2lHGbkcNxfsd57sIT4AxOaDCG2%2FFZXMCbHX2%2BAlk6wj1whCMIAvDB2QRF3nwjy4KYGi6JpWH6xkCIG0SrJtQdyV2yb0M16gFxD%2B%2FoSaGJbox7qY%2BxNDHZCmOCbYlt8vqKLpZuQNUEDEVThwClgQ3UUSeUDf11Od1ramW2eNt%2Fo2PupQ%7Ctkp%3ABk9SR6j18e-QYg&LH_BIN=1,4.09,Price Failed,,https://amazon.com/Intermediate-Algebra-10th-Margaret-Lial/dp/0321443624/ref=sr_1_1?keywords=9780321443625&qid=1685892190&sr=8-1,N/A
0807031275,https://www.ebay.com/itm/374170465330?epid=2071508&hash=item571e4c3432%3Ag%3A2O0AAOSwvc9f%7E5UC&amdata=enc%3AAQAIAAAAwHkJvDDazuMi5gAd4tPEpNlfilkKY2gXvZfdmSqbHHFUI7PZYjxTl%2BHUe3A7vKTOERY7KaIkOg5ko5iLCZkjV%2FjYEA2rOvMypiSi%2Fku%2FcgQ%2FxidQmSF%2B7E%2BGJGD%2BKkpm1HQDVx%2Fd6CHP5kxGeLNUcKYkUu3OgTYBvG0eVsKzy7mEpmuYmdLwEaon%2FFghzeIbu%2BJcKxOrVVChqW7OJeX%2F3S95bPP%2FPZoZbS9h9s5eXTlcqOet7ZUoWU6%2Ba4Wz8XebSg%3D%3D%7Ctkp%3ABk9SR6j18e-QYg&LH_BIN=1,4.83,$9.99,,https://amazon.com/Master-Math-Debra-Anne-Ross/dp/1598639803/ref=sr_1_1?keywords=9781598639803&qid=1685892196&sr=8-1,BB
9780201824162,https://www.ebay.com/itm/374542337006?epid=314114&hash=item57347683ee%3Ag%3ANV8AAOSwDlFf%7EqCb&amdata=enc%3AAQAIAAAAwIO3RsK%2Ff1J9u02BFQe9761NExTURhMXTRBk8xhL4Ozm5e3fZUmBZwgek9sCniB1o6Gx7q1GEkV1bK%2Bm8sPafV8fGzvUvApM2fgf5AbHSNOdPGr28ZUg3P5PqVvwIhWTlVWBLnUQim8x6rYIKK%2BOiG48m5RpYqQOeO%2Bhe6dgEarYaNVIkU7yTuHW%2FOAquRR6wDsljLR1%2FtQajVSU1u0%2FbLC8LykoUzQVTSi5KkvEZ9IQQK8J%2BfQ%2BLMVMoxmqBOC4Ig%3D%3D%7Ctkp%3ABk9SR6j18e-QYg&LH_BIN=1,4.54,$8.09,,https://amazon.com/Radical-Equations-Mississippi-Algebra-Project/dp/0807031275/ref=sr_1_1?keywords=0807031275&qid=1685892206&sr=8-1,BB
